R00001  Polyphosphate polyphosphohydrolase
R01381  UTP:1-phospho-alpha-D-glucuronate uridylyltransferase
R01383  UDPglucuronate beta-D-glucuronosyltransferase (acceptor-unspecific)
R01384  UDP-D-glucuronate carboxy-lyase (UDP-D-xylose-forming)
R01385  UDP-glucuronate 4-epimerase
R01386  UDP-D-glucuronate carboxy-lyase (UDP-D-apiose-forming)
R01387  UDP-glucuronate 5'-epimerase
R01388  D-Glycerate:NAD+ 2-oxidoreductase
R01390  Hydroxypyruvate + CO2 <=> Dihydroxyfumarate
R01392  D-Glycerate:NADP+ 2-oxidoreductase
R01393  hydroxypyruvate carboxy-lyase (glycolaldehyde-forming)
R01394  hydroxypyruvate aldose-ketose-isomerase
R01395  ATP:carbamate phosphotransferase
R01396  Carbamoyl-phosphate:L-lysine carbamoyltransferase
R01397  carbamoyl-phosphate:L-aspartate carbamoyltransferase
R01398  Carbamoyl-phosphate:L-ornithine carbamoyltransferase
R01399  Carbamoyl-phosphate:putrescine carbamoyltransferase
R01400  Carbamoyl phosphate <=> Cyclic amidines
R01401  Methylthioadenosine methylthioribohydrolase
R01402  S-methyl-5'-thioadenosine:phosphate S-methyl-5-thio-alpha-D-ribosyl-transferase
R01403  acyl-[acyl-carrier-protein]:NAD+ oxidoreductase
R01404  Acyl-[acyl-carrier protein]:NADP+ oxidoreductase
R01406  Long-chain-fatty-acid:[acyl-carrier-protein] ligase (AMP-forming)
R01407  Acid:protein ligase (AMP-forming)
R01408  formamide hydro-lyase (cyanide-forming)
R01409  Cyanohydrin aldehyde-lyase (cyanide-forming)
R01410  Cyanide + Acetaldehyde + NH3 <=> alpha-Aminopropiononitrile + H2O
R01411  5-Methylcytosine aminohydrolase
R01412  Thymine,2-oxoglutarate:oxygen oxidoreductase (7-hydroxylating)
R01413  thymine:acceptor oxidoreductase
R01414  5,6-Dihydrothymine:NAD+ oxidoreductase
R01415  5,6-Dihydrothymine:NADP+ oxidoreductase
R01416  Agmatine iminohydrolase
R01417  ATP:agmatine N4-phosphotransferase
R01418  1,4-diguanidinobutane amidinohydrolase
R01419  Benzaldehyde:NAD+ oxidoreductase
R01420  benzaldehyde:NADP+ oxidoreductase
R01421  Benzoyl phosphate phosphohydrolase
R01422  Benzoate:CoA ligase (AMP-forming)
R01423  5'-Benzoylphosphoadenosine benzoylhydrolase
R01424  N-Benzoylglycine amidohydrolase
R01425  Benzoylagmatine amidohydrolase
R01426  Benzoate + Acetate + NADH + H+ <=> trans-Cinnamate + 2 H2O + NAD+
R01427  Benzoate <=> 3-Hydroxybenzoate
R01429  D-xylose:NAD+ 1-oxidoreductase
R01430  D-xylose:NADP+ 1-oxidoreductase
R01431  Xylitol:NADP+ oxidoreductase
R01432  D-xylose aldose-ketose-isomerase
R01433  D-Xylose xylohydrolase
R01434  L-Valine:NAD+ oxidoreductase(deaminating)
R01437  L-valine carboxy-lyase (2-methylpropanamine-forming)
R01438  L-Valine <=> (S)-Methylmalonate semialdehyde
R01440  D-Xylulose-5-phosphate:formaldehyde glycolaldehydetransferase
R01441  ATP:cellobiose 6-phosphotransferase
R01442  Cellobiose:oxygen 1-oxidoreductase
R01443  Cellobiose:(acceptor) 1-oxidoreductase
R01444  cellotriose glucohydrolase
R01445  Cellobiose 2-epimerase
R01446  (S)-lactaldehyde:NAD+ oxidoreductase
R01447  (S)-Lactate:oxaloacetate oxidoreductase
R01448  (R)-2-O-sulfolactate 2-sulfohydrolase
R01449  lactoyl-CoA:propanoate CoA-transferase
R01450  lactate racemase
R01451  Cholesterol:NAD+ delta7-oxidoreductase
R01452  cholesterol,NADPH:oxygen oxidoreductase (5alpha,6alpha-epoxidizing)
R01453  cholesterol,NADPH:oxygen oxidoreductase (5beta,6beta-epoxidizing)
R01454  Cholesterol:oxygen oxidoreductase (side-chain-cleaving)
R01456  Cholesterol:NADP+ delta7-oxidoreductase
R01457  cholesterol:NADP+ Delta24-oxidoreductase
R01459  Cholesterol:oxygen oxidoreductase
R01460  Cholesteryl-beta-D-glucoside glucohydrolase
R01461  Acyl-CoA:cholesterol O-acyltransferase
R01462  cholesterol ester acylhydrolase
R01463  Cholesterol,NADPH:oxygen oxidoreductase (7alpha-hydroxylating)
R01465  L-Threonine:NAD+ oxidoreductase
R01466  O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming)
R01467  Threonine racemase
R01468  ATP:ethanolamine O-phosphotransferase
R01469  Ethanolamine:oxygen oxidoreductase (deaminating)
R01470  sn-Glycero-3-phosphoethanolamine glycerophosphohydrolase
R01471  UTP:alpha-D-xylose-1-phosphate uridylyltransferase
R01472  UDP-D-xylose:dolichyl-phosphate D-xylosyltrtansferase
R01473  UDP-L-arabinose 4-epimerase
R01474  UDP-D-xylose <=> Pentosan + UDP
R01476  ATP:D-glucuronate 1-phosphotransferase
R01478  beta-D-Glucuronoside glucuronosohydrolase
R01480  alpha-D-Glucosiduronate glucuronohydrolase
R01481  L-Gulonate:NADP+ 6-oxidoreductase
R01482  D-glucuronate aldose-ketose-isomerase
R01483  D-Glucuronolactone lactonohydrolase
R01484  D-Glucurono-6,2-lactone lactonohydrolase
R01485  L-Asparagine:hydroxylamine gamma-aspartyltransferase
R01486  aromatic aldehyde:NAD+ oxidoreductase
R01487  Aromatic alcohol:NAD+ oxidoreductase
R01488  Aromatic alcohol:NADP+ oxidoreductase
R01489  aromatic aldehyde:oxygen oxidoreductase
R01490  aromatic aldehyde:NADP+ oxidoreductase (ATP-forming)
R01491  aromatic alcohol:oxygen oxidoreductase
R01492  ATP:cob(I)alamin Co-beta-adenosyltransferase
R01493  N-Acylsphingosine amidohydrolase
R01494  N-Acylsphingosine amidohydrolase
R01495  ATP:ceramide 1-phosphotransferase
R01496  Acyl-CoA:sphingosine N-acyltransferase
R01497  UDP-glucose:N-acylsphingosine D-glucosyltransferase
R01498  D-Glucosyl-N-acylsphingosine glucohydrolase
R01500  UDP-galactose:N-acylsphingosine D-galactosyltransferase
R01501  Glycosyl-N-acylsphingosine glycohydrolase
R01503  CDP-ethanolamine:N-acylsphingosine ethanolaminephosphotransferase
R01504  ATP:2,3-dihydroxybenzoate adenylyltransferase
R01505  2,3-dihydro-2,3-dihydroxybenzoate:NAD+ oxidoreductase
R01506  2,3-Dihydroxybenzoate:oxygen 2,3-oxidoreductase (decyclizing)
R01507  2,3-Dihydroxybenzoate:oxygen 3,4-oxidoreductase (decyclizing)
R01508  3-Hydroxybenzoate, hydrogen-donor:oxygen oxidoreduxtase (2-hydroxylating)
R01511  D-Glycerate-3-phosphate phosphohydrolase
R01512  ATP:3-phospho-D-glycerate 1-phosphotransferase
R01513  3-Phospho-D-glycerate:NAD+ 2-oxidoreductase
R01514  ATP:(R)-glycerate 3-phosphotransferase
R01515  3-Phospho-D-glyceroyl phosphate phosphohydrolase
R01516  2,3-bisphospho-D-glycerate 2-phosphohydrolase
R01517  GTP:3-phospho-D-glycerate 1-phosphotransferase
R01518  2-Phospho-D-glycerate 2,3-phosphomutase
R01519  D-Glucono-1,5-lactone lactonohydrolase
R01520  beta-D-Glucose:NAD+ 1-oxoreductase
R01521  beta-D-Glucose:NADP+ 1-oxoreductase
R01522  beta-D-Glucose:oxygen 1-oxidoreductase
R01523  ATP:D-ribulose-5-phosphate 1-phosphotransferase
R01524  D-Ribitol-5-phosphate:NAD+ 2-oxidoreductase
R01525  D-Ribitol-5-phosphate:NADP+ 2-oxidoreductase
R01526  ATP:D-ribulose 5-phosphotransferase
R01528  6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)
R01529  D-Ribulose-5-phosphate 3-epimerase
R01530  D-arabinose-5-phosphate aldose-ketose-isomerase
R01532  nucleoside-triphosphate diphosphohydrolase
R01533  Diisopropyl-fluorophosphate fluorohydrolase
R01535  UDP galactose:undecaprenyl-phosphate galactose phosphotransferase
R01536  UDP-N-acetyl-D-galactosamine <=> Glycoprotein
R01537  UDP-N-acetyl-D-galactosamine <=> Glycolipid
R01538  D-gluconate hydro-lyase (2-dehydro-3-deoxy-D-gluconate-forming)
R01540  D-altronate hydro-lyase (2-dehydro-3-deoxy-D-gluconate-forming)
R01541  ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase
R01542  2-Dehydro-3-deoxy-D-gluconate:NAD+ 5-oxidoreductase
R01543  2-Dehydro-3-deoxy-D-gluconate:NADP+ 6-oxidoreductase
R01544  2-amino-2-deoxy-D-gluconate ammonia-lyase; D-glucosaminate ammonia-lyase (isomerizing;2-dehydro-3-deoxy-D-gluconate-forming)
R01547  ATP:dAMP phosphotransferase
R01548  dATP:cytidine 5'-phosphotransferase
R01549  dATP:uridine 5'-phosphotransferase
R01550  Propan-2-ol:NADP+ oxidoreductase
R01553  Acetone-cyanohydrin acetone-lyase (cyanide-forming)
R01555  Maltose:phosphate 1-beta-D-glucosyltransferase
R01556  Acetyl-CoA:maltose O-acetyltransferase
R01557  Maltose alpha-D-glucosylmutase
R01558  Oxalate:CoA ligase (AMP-forming)
R01559  Succinyl-CoA:oxalate CoA-transferase
R01560  Adenosine aminohydrolase
R01561  Adenosine:phosphate alpha-D-ribosyltransferase
R01562  adenosine 3'-phosphate phosphohydrolase
R01563  N-Carbamoylsarcosine amidohydrolase
R01564  N,N-Dimethylglycine:oxygen oxidoreductase (demethylating)
R01565  N,N-Dimethylglycine:acceptor oxidoreductase (demethylating)
R01566  Creatine amidinohydrolase
R01567  ATP:thymidine 5'-phosphotransferase
R01568  ADP:thymidine 5'-phosphotransferase
R01569  Thymidylate 5'-phosphohydrolase
R01570  thymidine:phosphate deoxy-alpha-D-ribosyltransferase
R01571  AMP:thymidine 5'-phosphotransferase
R01572  Nucleotide phosphohydrolase
R01573  ATP:D-arabinose 5-phosphotransferase
R01574  D-Arabinose:NAD+ 1-oxidoreductase
R01575  D-Arabinose:NADP+ 1-oxidoreductase
R01576  3-deoxy-D-manno-octulosonate D-arabinose-lyase (pyruvate-forming)
R01577  D-arabinose aldose-ketose-isomerase
R01578  D-Glutamate + Peptide <=> D-Glutamyl-peptide
R01579  D-Glutamine amidohydrolase
R01580  Pyridoxamine-5'-phosphate:2-oxoglutarate aminotransferase (D-glutamate-forming)
R01581  N-Acyl-D-glutamate amidohydrolase
R01582  D-Phenylalanine:2-oxoglutarate aminotransferase
R01583  D-glutamate hydro-lyase (cyclizing; 5-oxo-D-proline-forming)
R01584  N-methyl-L-alanine:NADP+ oxidoreductase (demethylating, deaminating)
R01585  L-Glutamate:methylamine ligase (ADP-forming)
R01586  Methylamine:L-glutamate N-methyltransferase
R01587  N-Methyl-2-oxoglutaramate methylamidohydrolase
R01588  dimethylamine:electron-transferring flavoprotein oxidoreductase
R01589  Methylguanidine amidinohydrolase
R01590  Arachidonate:oxygen oxidoreductase
R01593  Arachidonate:oxygen 15-oxidoreductase
R01594  Arachidonate:oxygen 8-oxidoreductase
R01595  Arachidonate:oxygen 5-oxidoreductase
R01596  arachidonate:oxygen 12-oxidoreductase
R01598  Arachidonate:CoA ligase (AMP-forming)
R01599  Arachidonate,reduced acceptor:oxygen oxidoreductase
R01600  ATP:beta-D-glucose 6-phosphotransferase
R01602  D-Glucose 1-epimerase
R01604  3-Oxopropanoate:NAD+ oxidoreductase
R01607  3-Oxopropanoate:NADP+ oxidoreductase
R01608  3-hydroxypropanoate:NAD+ oxidoreductase
R01609  3-aci-Nitropropanoate:oxygen oxidoreductase
R01611  3-Oxopropanoate hydro-lyase
R01613  Malonyl-CoA:4-Coumaroyl-CoA malonyltransferase(cyclizing)
R01614  Malonyl-CoA:4-coumaroyl-CoA malonyltransferase (cyclizing)
R01615  4-Hydroxycinnamyl aldehyde:NADP+ oxidoreductase (CoA-hydroxycinnamoylating)
R01616  4-Coumarate:CoA ligase (AMP-forming)
R01617  4-Coumaroyl-CoA:agmatine N4-coumaroyltransferase
R01618  APS:ATP adenylyltransferase
R01619  Adenylyl-sulfate:ammonia adenylyltransferase
R01620  Acetyl-phosphate:L-lysine N6-acetyltransferase
R01621  D-Xylulose 5-phosphate D-glyceraldehyde-3-phosphate-lyase (adding phosphate; acetyl-phosphate-forming)
R01623  [Acyl-carrier-protein] 4'-pantetheine-phosphohydrolase
R01624  acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase
R01625  CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase
R01626  Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase
R01627  3-Dehydroshikimate hydro-lyase
R01628  3-hydroxybenzoate,NADPH:oxygen oxidoreductase (4-hydroxylating)
R01629  protocatechuate,NADH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)
R01630  protocatechuate,NADPH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)
R01631  Protocatechuate:oxygen 3,4-oxidoreductase (decyclizing)
R01632  Protocatechuate:oxygen 4,5-oxidoreductase (decyclizing)
R01633  (3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate:NAD+ oxidoreductase
R01634  3,4-Dihydroxyphthalate carboxy-lyase (3,4-dihydroxybenzoate-forming)
R01635  4,5-Dihydroxyphthalate carboxy-lyase (3,4-dihydroxybenzoate-forming)
R01636  4-sulfobenzoate,NADH:oxygen oxidoreductase (3,4-hydroxylating, sulfite-forming)
R01637  3,4-Dihydroxybenzoate <=> Gallate
R01639  ATP:D-xylulose 5-phosphotransferase
R01641  Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase
R01644  4-Hydroxybutanoate:NAD+ oxidoreductase
R01645  4-hydroxy-2-oxo-heptandioate succinate semialdehyde-lyase (pyruvate-forming)
R01647  Succinate semialdehyde + Pyruvate <=> 2,4-Dihydroxyhept-2-enedioate
R01648  4-Aminobutanoate:2-oxoglutarate aminotransferase
R01649  2-(Acetamidomethylene)succinate amidohydrolase (deaminating, decarboxylating)
R01650  Succinate semialdehyde + Cyanide + NH3 <=> gamma-Amino-gamma-cyanobutanoate + H2O
R01651  4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating)
R01652  4-Methyl-2-oxopentanoate + CO2 <=> (2S)-2-Isopropyl-3-oxosuccinate
R01654  10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)
R01655  5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)
R01657  Dimethylallyl-diphosphate:L-tryptophan dimethylallyltransferase
R01658  Dimethylallyl-diphosphate:isopentenyl-diphosphate dimethylallyltranstransferase
R01659  Dimethylallyl-diphosphate:isopentenyl-diphosphate dimethylallylcistransferase
R01660  3-phospho-D-glyceroyl-phosphate:alpha-D-glucose-1-phosphate 6-phosphotransferase
R01662  3-phospho-D-glycerate 1,2-phosphomutase
R01663  dCMP aminohydrolase
R01664  2'-Deoxycytidine 5'-monophosphate phosphohydrolase
R01665  ATP:dCMP phosphotransferase
R01666  ATP:deoxycitidine 5'-phosphotransferase
R01667  dCDP nucleotidohydrolase
R01668  dCTP nucleotidohydrolase
R01669  5,10-Methylenetetrahydrofolate:deoxycytidylate 5-hydroxymethyltransferase
R01670  5,10-Methylenetetrahydrofolate:dCMP C-methyltransferase
R01675  S-Adenosyl-L-methionine:rRNA (adenosine-2'-O-)-methyltransferase
R01676  Guanine aminohydrolase
R01677  Guanosine ribohydrolase
R01678  Lactose galactohydrolase
R01680  Lactose:(acceptor) 3-oxidoreductase
R01681  hypotaurine:NAD+ oxidoreductase
R01682  3-Sulfo-L-alanine carboxy-lyase (taurine-forming)
R01683  tauropine:NAD+ oxidoreductase (taurine-forming)
R01684  Taurine:2-oxoglutarate aminotransferase
R01685  taurine:ferricytochrome-c oxidoreductase (deaminating)
R01686  L-arginine:taurine amidinotransferase
R01687  (5-L-glutamyl)-peptide:taurine 5-glutamyltransferase
R01688  ATP:butanoate 1-phosphotransferase
R01689  butanoate:NAD+ delta2-oxidoreductase
R01690  5'-butyrylphosphoinosine butyrylhydrolase
R01694  L-Sorbose:NADP+ 5-oxidoreductase
R01695  L-Sorbose:oxygen 5-oxidoreductase
R01696  L-Sorbose:acceptor 5-oxidoreductase
R01697  D-Sorbitol:(acceptor) 1-oxidoreductase
R01698  Dihydrolipoamide:NAD+ oxidoreductase
R01699  pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating)
R01700  2-oxoglutarate:[dihydrolipoyllysine-residue succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-succinylating)
R01701  3-methyl-2-oxobutanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating)
R01702  4-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating)
R01703  Hexadecanoate:hydrogen-peroxide oxidoreductase
R01704  Palmitaldehyde:NAD+ oxidoreductase
R01705  Palmitoyl-protein hydrolase
R01706  Oleoyl-[acyl-carrier protein] hydrolase
R01707  Pyridoxal:NAD+ 4-oxidoreductase
R01708  Pyridoxine:NADP+ 4-oxidoreductase
R01709  Pyridoxal:oxygen 4-oxidoreductase
R01710  Pyridoxamine:oxygen oxidoreductase (deaminating)
R01711  Pyridoxine:oxygen oxidoreductase (deaminating)
R01712  Pyridoxamine:pyruvate aminotransferase
R01713  Pyridoxamine:oxaloacetate aminotransferase
R01714  5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming)
R01715  Chorismate pyruvatemutase
R01716  chorismate:L-glutamine aminotransferase
R01717  chorismate hydroxymutase
R01718  Isomaltose 6-alpha-D-glucanohydrolase
R01720  nicotinate:NADP+ 6-oxidoreductase (hydroxylating)
R01721  S-Adenosyl-L-methionine:nicotinate N-methyltransferase
R01722  UDP-glucose:nicotinate N-glucosyltransferase
R01723  Nicotinate + Glycine + ATP <=> Nicotinurate + AMP + Diphosphate
R01724  Nicotinate D-ribonucleotide:diphosphate phosphoribosyltransferase
R01725  Nicotinate <=> 2-Methyleneglutarate
R01728  Prephenate:NAD+ oxidoreductase(decarboxylating)
R01730  Prephenate:NADP+ oxidoreductase(decarboxylating)
R01731  L-arogenate:2-oxoglutarate aminotransferase
R01732  Riboflavin hydrolase
R01734  Dimethylbenzimidazole <=> Riboflavin
R01735  (R)-Lactaldehyde:NAD+ 2-oxidoreductase
R01736  (R)-S-Lactoylglutathione hydrolase
R01737  ATP:D-Gluconate 6-phosphotransferase
R01738  D-Gluconate:NAD+ 5-oxidoreductase
R01739  D-gluconate:NADP+ 2-oxidoreductase
R01740  D-Gluconate:NADP+ 5-oxidoreductase
R01741  D-Gluconate:(acceptor) 2-oxidoreductase
R01742  D-Gluconate:acceptor 2-oxidoreductase
R01745  (R)-Glycerate:NAD+ oxidoreductase
R01747  (R)-Glycerate:NADP+ oxidoreductase
R01748  D-Glycerate-2-phosphate phosphohydrolase
R01749  D-Glycerate:NAD+ oxidoreductase (carboxylating)
R01750  D-Glycerate:NADP+ oxidoreductase (carboxylating)
R01751  (R,R)-tartrate carboxy-lyase (D-glycerate-forming)
R01752  D-Glyceraldehyde:NAD+ oxidoreductase
R01754  ATP:L-arabinose 1-phosphotransferase
R01757  L-Arabinose:NAD+ 1-oxidoreductase
R01758  L-Arabitol:NAD+ 1-oxidoreductase
R01759  L-Arabitol:NADP+ 1-oxidoreductase
R01760  beta-L-Arabinoside arabinohydrolase
R01761  L-Arabinose aldose-ketose-isomerase
R01762  alpha-L-Arabinan arabinofuranohydrolase
R01763  Benzyl alcohol:NAD+ oxidoreductase
R01764  benzoylformate carboxy-lyase (benzaldehyde-forming)
R01766  L-threo-3-Phenylserine benzaldehyde-lyase (glycine-forming)
R01767  Mandelonitrile benzaldehyde-lyase (cyanide-forming)
R01768  hypoxanthine:NAD+ oxidoreductase
R01769  Hypoxanthine:oxygen oxidoreductase
R01770  Inosine ribohydrolase
R01771  ATP:L-homoserine O-phosphotransferase
R01773  L-Homoserine:NAD+ oxidoreductase
R01775  L-homoserine:NADP+ oxidoreductase
R01776  Acetyl-CoA:L-homoserine O-acetyltransferase
R01777  Succinyl-CoA:L-homoserine O-succinyltransferase
R01778  (3S)-3-Hydroxyacyl-CoA:NAD+ oxidoreductase
R01779  (3R)-3-Hydroxyacyl-CoA:NADP+ oxidoreductase
R01780  Succinyl-CoA:3-oxo-acid CoA-transferase
R01781  1,2-Ethanediol:NAD+ oxidoreductase
R01782  2-dehydro-3-deoxy-D-pentonate glycolaldehyde-lyase (pyruvate-forming)
R01784  2-dehydro-3-deoxy-L-pentonate glycolaldehyde-lyase (pyruvate-forming)
R01785  L-xylulose 1-phosphate glycolaldehyde-lyase (glycerone-phosphate-forming)
R01786  ATP:alpha-D-glucose 6-phosphotransferase
R01787  D-Glucitol:NADP+ 1-oxidoreductase
R01788  alpha-D-Glucose 6-phosphate phosphohydrolase
R01790  1,4-alpha-D-Glucan glucohydrolase
R01791  Dextrin 6-alpha-D-glucanohydrolase
R01793  5,6,7,8-tetrahydrobiopterin:NAD+ oxidoreductase
R01794  5,6,7,8-tetrahydrobiopterin:NADP+ oxidoreductase
R01795  L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating)
R01797  CDP-diacylglycerol phosphatidylhydrolase
R01798  Arachidonyl-CoA:CDPacylglycerol O-arachidonyltransferase
R01799  CTP:phosphatidate cytidyltransferase
R01800  CDP-diacylglycerol:L-serine 3-phosphatidyltransferase
R01801  CDP-diacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase
R01802  CDP-diacylglycerol:myo-inositol 3-phosphatidyltransferase
R01803  N-acetylneuraminate,ferrocytochrome-b5:oxygen oxidoreductase (N-acetyl-hydroxylating)
R01804  phosphoenolpyruvate:N-acetyl-D-mannosamine C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming)
R01805  N-Acetylneuraminate 9-phosphate phosphohydrolase
R01806  Acetyl-CoA:N-acetylneuraminate 4-O-acetyltransferase
R01807  Acetyl-CoA:N-acetylneuraminate 7-O-acetyltransferase
R01808  Acetyl-CoA:N-acetylneuraminate 9-O-acetyltransferase
R01810  N-Acyl-O-acetylneuraminate O-acetylesterase
R01811  N-Acetylneuraminate pyruvate-lyase (N-acetyl-D-mannosamine-forming)
R01812  5,6,7,8-Tetrahydrobiopterin:NADP+ oxidoreductase
R01813  Tetrahydrobiopterin:NADP+ oxidoreductase
R01814  L-Tryptophan,tetrahydrobiopterin:oxygen oxidoreductase (5-hydroxylating)
R01815  L-Tyrosine,tetrahydrobiopterin:oxygen oxidoreductase (3-hydroxylating)
R01816  Anthranilate,tetrahydrobiopterin:oxygen oxidoreductase (3-hydroxylating)
R01817  D-mannitol-1-phosphate:NADP+ 6-oxidoreductase
R01818  D-Mannose 6-phosphate 1,6-phosphomutase
R01819  D-mannose-6-phosphate aldose-ketose-isomerase
R01821  1,4-alpha-D-Glucan:orthophosphate alpha-D-glucosyltransferase
R01823  Sucrose:1,4-alpha-D-glucan 4-alpha-D-glucosyltransferase
R01824  1,4-alpha-D-Glucan 1-alpha-D-glucosylmutase
R01825  D-erythrose 4-phosphate:NAD+ oxidoreductase
R01826  Phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)
R01827  sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase
R01829  Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase
R01830  beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase
R01833  Androst-4-ene-3,17-dione,hydrogen-donor:oxygen oxidoreductase (13-hydroxylating, lactonizing)
R01834  3-Oxo-5alpha-steroid:(acceptor) delta4-oxidoreductase
R01835  5beta-androstane-3,17-dione:NADP+ 4,5-oxidoreductase
R01836  Testosterone:NAD+ 17-oxidoreductase
R01837  3beta-Hydroxyandrost-5-en-17-one:NAD+ 3-oxidoreductase/delta5-delta-4 isomerase
R01838  Testosterone:NADP+ 17-oxidoreductase
R01839  3beta-Hydroxyandrost-5-en-17-one:NADP+ 3-oxidoreductase/delta5-delta-4 isomerase
R01840  Aromatase
R01841  17alpha-Hydroxyprogesterone acetaldehyde-lyase
R01842  Androstenedione 7alpha-hydroxylase
R01843  ATP:Sedoheptulose 7-phosphate 1-phosphotransferase
R01844  ATP:sedoheptulose 7-phosphate
R01845  Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase
R01850  acetyl-CoA:hydrogen-sulfide S-acetyltransferase
R01851  Methanethiol:oxygen oxidoreductase
R01853  RCH2NH2:oxygen oxidoreductase(deaminating)(flavin-containing); RCH2NH2:oxygen oxidoreductase (deaminating) (copper-containing)
R01854  RCH2NH2:acceptor oxidoreductase (deaminating); primary-amine:acceptor oxidoreductase (deaminating); aralkylamine:acceptor oxidoreductase (deaminating)
R01855  2'-Deoxyguanosine 5'-triphosphate diphosphohydrolase
R01856  dGTP triphosphohydrolase
R01857  ATP:dGDP phosphotransferase
R01858  dGTP:pyruvate 2-O-phosphotransferase
R01859  Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)
R01860  4-Aminobenzoate carboxy-lyase
R01861  3'-Phosphoadenylyl-sulfate:benzenamine N-sulfotransferase
R01862  Anilide amidohydrolase
R01863  inosine:phosphate alpha-D-ribosyltransferase
R01866  (S)-dihydroorotate:NADP+ oxidoreductase
R01867  (S)-Dihydroorotate:oxygen oxidoreductase
R01868  (S)-dihydroorotate:quinone oxidoreductase
R01869  (S)-dihydroorotate:NAD+ oxidoreductase
R01870  Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase
R01872  L-quinate:NAD+ 3-oxidoreductase; Quinate:NAD+ 5-oxidoreductase
R01873  Quinate:pyrroloquinoline-quinone 3-oxidoreductase; Quinate:pyrroloquinoline-quinone 5-oxidoreductase
R01874  D-cysteine sulfide-lyase (deaminating; pyruvate-forming)
R01875  Thiosulfate:thiol sulfurtransferase
R01876  Uridine:phosphate alpha-D-ribosyltransferase
R01877  Uridine 3'-monophosphate phosphohydrolase
R01878  Cytidine aminohydrolase
R01879  2-Deoxyuridine,2-oxoglutarate:oxygen oxidoreductase (2'-hydroxylating)
R01880  dGTP:uridine 5'-phosphotransferase
R01881  ATP:creatine N-phosphotransferase
R01882  N-Phosphocreatine hydrolase
R01883  S-Adenosyl-L-methionine:guanidinoacetate N-methyltransferase
R01884  Creatinine amidohydrolase
R01885  ADP-ribose + H2O <=> alpha-D-Ribose 1-phosphate + AMP
R01886  Nomega-(ADP-D-ribosyl)-L-arginine ADP-ribosylhydrolase
R01887  gamma-Amino-gamma-cyanobutanoate aminohydrolase
R01888  ATP:kanamycin 3'-O-phosphotransferase
R01889  Acetyl-CoA:kanamycin-B N6'-acetyltransferase
R01890  CTP:choline-phosphate cytidylyltransferase
R01891  CDP-choline:N-acylsphingosine cholinephosphotransferase
R01892  Ribitol:ferricytochrome-c 2-oxidoreductase
R01895  Ribitol:NAD+ 2-oxidoreductase
R01896  Xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming)
R01898  D-Lyxose aldose-ketose-isomerase
R01899  Isocitrate:NADP+ oxidoreductase
R01900  isocitrate hydro-lyase (cis-aconitate-forming)
R01901  ATP:L-xylulose 5-phosphotransferase
R01902  ATP:L-xylulose 1-phosphotransferase
R01903  L-arabinitol:NAD+ 4-oxidoreductase (L-xylulose-forming)
R01904  Xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming)
R01905  3-Dehydro-L-gulonate carboxy-lyase
R01906  L-lyxose aldose-ketose-isomerase
